Review,Actual,Predicted
i am totally on the fence with this shirt like the other reviewers i sized up because my normal  was too tight in the chest a common problem for me the arms are strangely tight and i didnt get much more room in the bust with the  but then the bottom of the shirt tents away and hangs funny this is obviously meant for those with a very small bust who are on the slender side i love the pattern and material though so im going to visit my trusty seamstress and see if she can place dart,Neutral,Positive
i ordered this quite nice cardigan i received the sweater promptly yay fast shipping but never received the belt to it i tried emailing about it but didnt get a response the sweater really is the softest thing ever but it will not close without the belt and trying to use a different belt just doesnt work i hope to receive the belt soon because id really like to wear this a lot this winter,Neutral,Positive
not a tunic unless the model pictured is  barely covered my backside and not as advertised design on top is interesting and the fabric is soft so its a good buy if  off or more,Negative,Positive
very disappointed in this top i have a short waist and it was still too short for me ,Negative,Neutral
i ordered a small and the top part was huge yet the bottom a little snug you need a big chest and small legs and bottom too bad its very cute,Negative,Neutral
these pants are cute they seem to me to have a wider leg than appears on the model they do run big so i would recommend sizing down if in doubt these are cute pants that can be dressed up or down but unfortunately look pretty sloppy by the end of the day as they stretch and wrinkle very quickly since they already run a bit big this is a major negative i wore them to church and they were quite wrinkled by time i got home by late afternoon they looked like a different pair of pants,Neutral,Positive
i love the look of this dress  had high hopes but it didnt live up to them have no doubt that it is well made  beautiful fully lined with lovely detailing around the neck i am  lbs with a postpartum belly that id like to hide so i chose this dress as the reviews say its a bit loose  forgiving i found it to be so loose that it looks big  entirely hides my figure i considered ordering a small but knew that it was simply the cut of the dress  going down a size wouldnt chang,Neutral,Positive
the colors in this dress are much less vibrant in person the scoop of the neckline is very wide and deep i know others have posted that this is a great dress for work but not in my workplace,Neutral,Positive
this piece didnt make sense to me  maybe its bc im a yankee fan but it reminded me of a high end baseball jersey that was sheer  i didnt think it was office appropriate but too dressy for casual wear  it went back,Negative,Positive
this is a cute dress not real form fitting and made of a thin but comfortable jersey material little see thru and kind of sexy though if you have cute lingerie,Neutral,Positive
these felt like they were cutting off circulation around the calves i tried pulling them lower to reduce the tightness but that made them way too droopy between the legs an alternative would be to clip the elastic but ultimately decided to return,Negative,Neutral
i saw this top in the box and was excited to try it on the print is absolutely stunning and gorgeous i could not wait when i tried it on it is such a loose top and a tad short it was flowy all over i expected it to be loose from the picture but not like this it would work best on a very slender figure with white pants or leggings i dont recommend it for a curvy figure just not flattering makes everything look big what a waste because the print is so nice,Neutral,Positive
i just cant get past how different the blouse i got is from the photo mine has dark colors really dark colors  this top fits a bit large and the neck is quite wide i thought it flowed well and fit nicely in my regular size large i liked the length and the fact that its shorter than shown it still covered my bum  the back has a cute peplum ruffle and there are little bronze colored beads along the bottom edge in both the front and back i would have kept it had been the blouse shown in t,Negative,Positive
these pants fit tts and are ask pictured in length on me  i can go between a  and a  and tried the  and they were fine that said the fabric completed turned me off it is that sort of stretch fabric with a sheen to it i did not find them to be the wonderful wardrobe basic i thought theyd be the fabric is just too stiff and the sheen made them feel cheap unfortunately,Negative,Positive
this top was so pretty online unfortunately it did not work for me the front was a bit more shapeless in person though the back was gorgeous with a button gather at center the color appeared yellow online but was a bit more green in person also the armholes were very low so it would need a camisole or no bra,Neutral,Positive
does not look like the picture lined with a cheap denim fabric inside that shows when arms are rolled up i normally always fit in mediums and this jacket is so small in the arms as well as body that it fit like a xs,Negative,Positive
my  daughters and i all wear a size small and are heights range between  and   this dress was sloppy on every one of us i dont think a size x small would have made a difference the length is all over the place im not sure how or where you would fit a bra into the picture on the positive side was very soft it may work as a beach cover up,Negative,Positive
this is the prettiest little sweater with such nice details but it will not work well on a person like me with a full bust d even in a larger size than i normally wear it is also very very short in the body i would recommend it for a petite person with a small bust though,Neutral,Positive
its thin knit with a unique and pretty neckline but unfortunately its scratchy will not last i just received it and it looks like it would fall apart after a few wears its a nice shade of offwhite at least for me its a no that will get sent back straight away,Negative,Neutral
so this is still a pretty cute shirt but my xs is missing the ruffle in the front and has layers on the bottom front of shirt it doesnt seem to be defective just a different version of the shirt im curious to find out from others if they have gotten the same shirt as i have still deciding whether to keep or not no more left in xs to place another order and see whats up i do wish it had the ruffle in front as that is what caught my eye,Neutral,Positive
i ordered the white denim online and was very disappointed by how thin the material was i had tried on the light blue denim in the store and it had a nice weight to it the style is wonderful and the fit is very flattering but too sheer for me to wear outside the house,Negative,Positive
i purchased these pants on  as a more fashionable alternative to yoga pants while traveling southeast asia starting february after about  wears with little washing in between as i was backpacker style traveling the pants wore through in between my legs the fabric first started to develop little fuzz balls everywhere and then literally disintegrated in places i tried to sew them to continue wearing them while traveling but alas the fabric had become so thin that the thread could,Negative,Positive
got this in purple and love it ordered red and silver and only received red so far but had to return because it was oddly shaped and didnt fit well like the purple not sure what happens maybe miss sized,Negative,Positive
i wanted to really love this because its a bit more styled than a plain tank but the front and back both poof out and i felt like i was wearing a maternity top just didnt do my body any justiceloved the top and that part fit great but the bottom part was too poofy and sadly not a good look at all on me,Positive,Neutral
in the photo i loved the colors in person though the print on mine had the four huge pink lily flowers on the front and it just wasnt the look i was hoping for like the photo also i failed to notice in the photo that theres elastic along the seam of the butt this seems silly and unnecessary its not terribly noticeable on but still i felt weird the fabric is thick and not seethru and the quality is fine but the combination for the shifted print and the unexpected ruching and thes,Positive,Negative
this is a very pretty particularly youthful dress  but do be forewarned it is gigantic  size down even if you never do and get a petite if you are even a little short  i didnt size down enough and it was both wide and long  it looked ridiculous  i am petite and the hem went way below my knees and the dress was considerably longer than the slip,Positive,Neutral
for me this looked better in the picture i found the actual item more garish in person and way too scratchy on the outside for my liking hard pass for this petite,Negative,Positive
the xxs petite fit great except in bust and shoulder area im a a and it was really tight,Neutral,Positive
loved the dress loved the pattern and the cut unfortunately it did not work for me it is cut too low under the arm pits and therefore showed too much breast it is not made to wear a bra with either so that is not a solution sticky boobs will not work either because it is the side breast that shows i hated to have to send back butstill looking for something similar and great,Positive,Neutral
well this top just did not do anything for me  its a very conservative style with the high neckline and blousy fit youd need to go a little lower in size if you want any of your figure to show through i guess it might be good for a church function or some other conservative event but it was too buttonedup for my style i also had a hard time getting it off even though the size i tried on was large for me i didnt care for the feel of the fabric either although the lace is nice,Neutral,Positive
i like how this jacket is very versatile you can wear it to work or play it does have interesting detail on it i kept it based on the price and those details i have the olive color the arms are a little tight,Neutral,Positive
"bought this in an xs and i liked the style of the skirt it was long enough to wear to work 
however the waist was too large and would not stay up on my waist returned",Positive,Neutral
i bought this in a large im normally an xl it is a very large on the bottom i really like that style so the extra fabric was good i tried on the white and orange the white is sheer and i didnt like the fabric as much the orange way really cute though,Positive,Neutral
"i thought i was getting this nice light weight white sweater but not the case
it is a pretty heavy nice thick cotton and beautiful made it does run large i got the small and love the oversize feel even on my  frame 
but  it is not white it is beige and it is not light weight i have enough beige sweaters in this look so this one is going back even though it was a great buy on sale",Neutral,Positive
luckily i bought this on sale i now see the instructions online say to hand wash but i bought mine in the store the instructions on the tag said to wash delicate in cold water and tumble dry i washed it in cold water and it shrunk to doll size,Negative,Positive
first of all the label on this dress is maeve not nue by shani second i just wasnt impressed the fabric is coolit has a sort of embossed look to it and its somewhat shiny which sets it apart in a good way but the cut is just boring the top felt dowdy to meoverall i was underwhelmed by this dress and returned it,Neutral,Negative
this top was quite voluminous when i purchased it and i sized down to an xs however after hand washing it once in cold water it has shrunk significantly it still fits but something to be aware of,Neutral,Negative
i am usually a size o and ordered and xs due to the band in the center not much give it was a little difficult to shimmy over my hips but the body fit perfectly when i got passed that part that being said the cup design is a hot mess i am a bc cup size and the top on this could not handle it i felt fully exposed i thought maybe if i went a size up i could get a little more coverage the body felt ok on the small but the cups were still just too small i still felt to exposed they are,Negative,Positive
"these leggings were way longer and darker then appeared on model 
they also were see through or beige color when stretched across hip
especially for the high cost there are much better althleisure leggings on the market",Neutral,Negative
i thought this was so cute online sweet and feminine but when it arrived and i tried it on in my usual p i felt like i had just stepped back into freshman year of highschool  it is very early s  not the bohemian i was going for it is also very high waisted even for my little  frame i truly felt like they pulled this out of someones closet dusted it off and said ta da as much as i love rachel and monica i have moved on from their clothing ,Neutral,Positive
this is a very nice dress the jersey is soft and high quality the construction appears solid the color is very pretty and looks in real life just like it does on my computer the cut and draping just dont work for me theres just too much draping too much fabric it overwhelmed me and made me look bigger than i am i have a feeling this would be much more flattering on a curvier figure than my own this dress seemed to be trying to accentuate curves i dont really have especially in the,Positive,Neutral
finally decided to join the yogawear craze and thought these tights and a few other pair from retailer would help me transition to this style my size l tights were just that  tight so tight i really didnt want to pull them up past the knee i am not kidding i wear size  pants and my legs are toned and shapely so there was no reason to expect a l wouldnt fit so sad,Neutral,Positive
wish id noticed that the sleeve cuff and hem were cut to look hippiecasual im taking this back with great regret its soft and the prettiest pale limesherbet color made for a cool summer look i dont like tattered though  so back it goes sigh its soft true fit and beautiful id buy it in many colors and in the lovely lavender print if it wasnt for the cuts,Neutral,Positive
well made dress but too much fabric for my taste it lays a little heavy on the body  does not give a slimming affect the colors are vibrant  pretty but the dress is too long as well as other reviewers have said the front is too low cut but turn it around and it looks  feels better didnt work for me sadly ill be returning it,Negative,Neutral
i liked this top in black but it didnt fit me well had to return,Neutral,Positive
first one i received was ripping apart already in the sleeve opening at wrist warning very tight sleeves plus  of the green shiny band detail was missed altogether by whomever sewed this particular one just left unstitched and long threads were hanging in several places this is by no means a quality piece and is severely overpriced on the positive side it is very cute and im keeping the replacement one but know that it is also delicate after one use there is a snag on the inside,Neutral,Negative
too small too flare nice thick fabric not my favorite pant,Negative,Positive
i love the look of this dress on model but sadly fit didnt work out very short waisted and tight across chest with very ample arm holes im   c reliably a size  this dress seemed at least  sizes off for me my daughter usually a size  could wear it except for the arm hole size and the fact that its  dollars and shes going back btw novelty print means ice cream novelty little popsicles with bites taken out  cute but more juvenile than i expected,Negative,Neutral
super cut but easily wrinkles eg i ironed it got dressed then bent down to tie my daughters shoe and the whole front bottom was super wrinkly i thought that itd go away but it didnt just got worse by the time i got out of my car at work front and back were noticeably wrinkled all day,Neutral,Negative
i thought this tank would be so cute and comfy for my daily walks but its completely see through  i sized down one size based on a review from another website and it fits ok but its hard to say if it runs tts because i have nothing to compare it to  if the fabric was a little thicker this would be the perfect tank  unless your planning on layering this i wouldnt recommend,Neutral,Positive
i am a true size small and i ordered this dress and it was way big its meant to be a relaxed fit but it sagged under the armholes because the bust was way too big some folks are saying it ran small and they are essentially the same measurements as me so it makes me think there is possibly some variation in each size i got on here to reorder in a smaller size but now am not sure what to do as i need a dress with in the next three days,Neutral,Positive
if youre pregnant congratulations this shirt is for you if youve ever dreamed of being an xxs this shirt is also for you im a d normally a small or medium but often size down to xs in swing tops the xs is ginormous on me although it fits through the shoulders i can hold onto the bottom and stretch my arms straight out at the sides its that wide think flying squirrel what doesnt show in the pictures is that it also has a slight dolman sleeve which makes it look wide at the to,Negative,Positive
i feel the same way about this shirt as i do about the sungarden tee its a lovely pattern and i like the fit its not clingy but its a bit seethough its not as bad as the other tee but no contrasting or patterned bras can be worn with this shirt unless thats your thing that said im happy with it because its a soft and pretty shirt that will get a lot of wear in warm weather i am very glad i got it on sale though i wouldnt have paid full price for it,Neutral,Positive
there is nothing special about this skirt its plain and incredibly dowdy looking long and wide i am usually between a small and medium after reading the other review that said the waist ran small i went with a medium it fit fine in the waisthips,Neutral,Positive
this was so unflattering the bust was too high so it hit me weird on the boobs the green was a beautiful vibrant color but the fabric is so delicate that one wrong move would cause a snag,Negative,Neutral
i was so excited to order this dress however once it arrived i realized that the fit doesnt work for me i carry my weight in my stomach and backside and the dress clung to my trouble areas,Positive,Neutral
unfortunately this one is going back the fit is very flattering and the underlying layer is very revealing in the back,Negative,Positive
the top is really cute but its see through and the material doesnt seem like the highest quality definitely not worth the price,Neutral,Negative
an absolutely gorgeous but poorly fitting blouse the bottom part is way too billowy and inconsistent with the fitted top half got it on sale and still returned it,Negative,Positive
"i tried this blouse on and loved the style comfort and color of the peach so much that i was preparing to buy it when i pulled the sleeve the fabric came away from the cuff i tested another spot pulling only gently and the same thing happened too bad since the color would have been a great addition for me 

buti also tried the blue and it gets  stars as the fabric is much better it too is adorable soft and did not tear on gentle testing the two blouse colors are made from different",Negative,Neutral
i wanted this top in a petite xs but it was sold out so i got the xs im  with a b bust and while the bottom comes down to my waist like on the model the sleeves are a bit longthey seem a little long on the model too i wore this to work and constantly had to pull my top back as the scoop neck kept drooping down as i moved around throughout the day really like the tie neck feature though,Neutral,Positive
going to alter shoulders straps by shortening for a better fit petite size would have fit better but was sold out,Neutral,Positive
this was not what i was expecting at all i am a medium in just about everything but ordered a large to possibly wear this as a dress instead of a tunic since i am around   the large fit like a small on me and not like a typical oversized sweater type small but a normal fitted top small a previous reviewer said it is long and straight and i think that is a good description for it i think the models wearing this in the pictures are all wearing an extralarge or a different cut of the,Negative,Positive
i usually wear small ordered xs and its still way too large quality not that great just meh returning it,Neutral,Negative
the fit of this sweater did not flatter my bodytype the top half did not fit well the armpit area was loose fitting and the neckline was awkward,Negative,Neutral
sooo disappointed with how flimsy this fabric is i think this is the thinnest of all clothing items i have ever come across anywhere in my life this is really a shame because the colors are stunning and it is a nice shirt style another con is if you have any bit of back fat it shows every lump and bump  i do not recommend unless you have a lean back and the cost was ,Negative,Neutral
this dress i ordered the ivory is stunning it is fully lined the belt adds a needed accent and the print on the fabric is gorgeous the fit though is another issue i typically wear a  depending on the cut and fabric of dresses and am pretty proportionate with my hipsbust i ordered a  in this dress it was enormous on the top and painfully tight on my hips and thighs the fabric has absolutely no give  it needs to drape perfect or it looks awful if you have any type of hip thigh,Neutral,Positive
this dress had so much promise from the picture i loved the midi length color and fascinating waist detail i ordered online so there was no way to try on before purchasing the fit was disappointing it fell in an unflattering manner at every point a tad too low at the waist a tad too long at the shin just kind of saggy all around bummed but this is not to say it wouldnt fit someone with a different body shape better the quality of fabric is nice and the color is lovely,Neutral,Negative
i havent worn the top yet nor have i returned it still not sure if i want to keep it i bought the slate color and it is a bland color also not sure if i like the fabric because the material feels like it could be a pajama top however it is a comfortable loose fitting top so for that reason i may keep it,Positive,Neutral
this looks cute on the model but was way too big loose and sloppy for me i probably needed a petite size i ordered a regular xs but returned it it is an okay black top nothing great,Negative,Neutral
i would have to wear a camisole underneath this which is odd considering its still two layered in the front i wanted an easy white shirt to wear not something id have to layer,Neutral,Negative
according to the sizing chart i should be an  or  i ordered a  but i could not get the blouse zipped up around the ribcage the one spot i dont keep any fat i brought it to the store to exchange for a  but i couldnt breath with the  on for reference i am ddd it was the  part that didnt fit the ddd would have fit fine i think,Neutral,Positive
i liked everything about this tunic except the way that it looked on me the fabric was great  not too heavy not too light the design was cute and i loved the colors i got the yellow it was cut well and a good length for me i am  that being said i am curvy and i felt like i looked even rounder in this top if i was  taller it probably would have been perfect,Positive,Neutral
this skirt looks cute online but it has several issues  the slit is very high this photo is deceptive look closelythe slit is actually to her finger tips you cant wear any kind of spanx or control top tights  slits on both sides so when you walk they fly away  the micro mini slip bunches  the fine knit is very snagable  the skirt is very long it is going back,Negative,Positive
pretty top i like the flutter sleeve design  the linen is thin too sheer to not wear a cami underneath the white  nice for the sale price  can easily be dressed up or down,Neutral,Positive
i received these as a christmas gift they are really cozy warm soft and super comfortable however they stretch out a lot as there is no drawstring or elastic on the waist band this leads them to poof out a lot and i have to keep pulling them up this is fine for hanging out around the house but not if you want to wear them out and about im keeping them because theyre so comfortable but beware how much they stretch i am   lbs and the size small fits well,Neutral,Positive
dress cut was great but the collar was so oblong that it looked spaceage,Neutral,Negative
im  ft   lbs true size  and these pants made me look like i had boy parts super disappointed,Negative,Positive
i bought this shirt immediately because of the pattern when it arrived i was super confused its not a tee shirt like it looks like in the photos its made with cotton fabric with a tiny bit of stretch i ordered the xl because i have brought shoulders and e bras size and it fits like a x or larger i would say order two sizes down also it hangs like a maternity shirt i might order it once its on sale which it definitely will be but even then am not positive i would keep it,Negative,Positive
i tried this sweater on in the store i wanted to love it so badly as it is soft and feminine and would be a great causal layering piece however there are pockets in the sweater that are right on seam and they actually bubble out from the natural drape of the sweater not to mention unless youre built very narrow the pockets will fall at and accentuate hips and not in a flattering way the nice details are the feel of the knit the layered style with a cottony lined hood and faux lay,Neutral,Positive
the colors of this top are perfect for spring i love the embroidery and like the sleeves with the ties at the bottom what i didnt like and primary reason i may be returning is the elastic bottom it cuts off at an awkward spot on my waist and makes my top section look short and wide i am very disappointed about this as the rest of the blouse is gorgeous,Neutral,Positive
the fabric of this top is lovely the fit not so it does not fit as shown on the model the fit is very large around the middle and fits more like a swing top i am  slim build i ordered my usual size medium shoulders and back fit perfectly too much material around the middle had it had a straight cut to it as shown id keep it because it doesnt its going back,Negative,Positive
this is a beautiful top but the fit is odd its roomy and flowy in the bust and waist but the arms are disproportionately tight i wear a size  in all hd in paris tops but this one didnt fit anything like the others i wouldnt even know what size to recommend because its almost too big in the body while being too tight in the arms the lace and mock neck is beautiful though so im hoping to find someway to wear it comfortably otherwise it will be going back,Neutral,Positive
ordered size  it fits but pulls a tiny bit in the midsection also way too long hits below my knees the dress is beautiful crisp black color nice fabric great neck its also the kind of dress that must fit well to look good i had to return mine,Neutral,Positive
the wash on these jeans made my hips look twice as big that in combination with the looser boyfriend cut was not flattering quality was excellent denim was thick with the right amount of stretch unfortunately they had to go back,Negative,Positive
i love tracy reese dresses but this one is not for the very petite i am just under  feet tall and usually wear a p in this brand this dress was very pretty out of the package but its a lot of dress the skirt is long and very full so it overwhelmed my small frame not a stranger to alterations shortening and narrowing the skirt would take away from the embellishment of the garment i love the color and the idea of the style but it just did not work on me i returned this dress,Negative,Neutral
i think this blouse would work for petites it is super short and boxy looked nothing like the fit on the model sad to return it love the print,Neutral,Negative
"i love this dress the only issue is i ordered online and it came from a store location not the warehouse so it came dirty on the bottom and wrinkled 
once i washed it yes its washable it looked fantastic",Neutral,Positive
i ordered a size small i am  size  and the dress was a mini on me way shorter than on the taller model the stomach and hips gaped out from my body yet the waist was cut way too high so the dress was both too small and too big very odd fit the material is soft thick stretchy and has a textured pattern which i liked this one is going back,Negative,Neutral
its not totally apparent in all of the photos but this dress does have a very noticeable asymmetric hemline i have read other reviewers that have said this dress is forgiving and a good choice for people with an hourglass frame if you are truly an hourglass small waist larger shoulders and hips due to bone structure rather than weight this dress is a poor choice the fabric of this dress tends to cling to the outermost hip and the asymmetry of this particular hemline not only draws,Neutral,Positive
i love these jeans they are really cute and comfy however they are way too long i couldnt believe these were a  inch inseam but i measured them and they are i am  and put on a  inch heel and they were still dragging on the ground  these will have to go back as i dont think the same look can be pulled off if they were hemmed,Neutral,Positive
this looked more fitted on the model the xs was still boxy on me but i loved the eyelet hem so much i kept it,Positive,Negative
i want to love this shirt i really do but its huge the top is tentlike which would be adorable with skinny jeans however the length of the back dips so low the top kind of reminds me of pajamas the color is beautiful more like a light grey heather and the white piping is like a shimmery ribbon material overall the top is cute but it dips too low in the back and the bow weighs down the back of the shirt so it makes it hard to adjust it in the front sadly its a return,Negative,Positive
so the dress is interesting has an asymmetrical wrap look short sexy length im  and the petite barely covers my assets and a neckline that implies sexy without actually displaying the girls it crosses over and stays closed but looks sexy and plunging but the shoulders are what make it look matronly theyre wide from neck out to the outer edge of my shoulderupper arm they show no shoulder at all which is really an odd design when the rest of the dress is sexyish i looked back,Neutral,Positive
this has a sparkle that you cant see in the pictures i returned it the design is cute but not worth the price,Neutral,Negative
this is a really nice quality dress it is a lowcut vneck but the fabric is form fitting so its not revealing when u move i love the top part of the dress but the skirt just did nothing for me its a soft material but the skirt almost resembles a bath towel in look and feel i am petite in size  lbs i will be returning due to the skirt being to loose on me in width rather than length also the center pleat of the skirt makes it look a bit odd the skirt hit right at knee height,Negative,Positive
i am about   lbs and usually wear between a small or a medium i ordered a small as another reviewer did right when i took it out of the packaging i could see that it was going to be much shorter than you can tell from the online photo i knew the sweater was going to be cropped but it falls right at the top of my hip bones when i raise my arms up my whole midriff shows did not flatter my athletic build at all the fit around the shoulders and chest is fine skimming but not tight,Neutral,Negative
i was excited about this dress because i love the colors and print the dress has no shape though and not in a good way its not flowy enough for the look of a shape dress but its not fitted enough to be flattering,Neutral,Positive
i got this top planning to wear it with the sleeves up rather than off the shoulder like in one of the photos my regular size medium was way too large so i went down to a small however the collar was still too wide for the sleeves to stay above my bra straps back it goes if youre looking for a strictly offtheshoulder top you might like it color is deep blue and the cotton is a nice weight,Neutral,Positive
i was expecting this to be longer nothing wrong with it i will be returning it because it was a little short,Neutral,Negative
i usually love tops like this i bought this is the store because if was so soft got it home and was so disappointed because it is not very flattering at allwould be a great house top though because it is soft enough to sleep in,Negative,Positive
"why is it so difficult to find a shirt that doesnt expose half of my bra if i lift my arm 

this is cute beyond the arm hole issue but overpriced going back",Negative,Neutral
loved this dress and ordered it based on glowing reviews ordered size large because i weigh  pounds and have a large g bust the dress skimmed nicely over my body but the baby doll style fit loosely and made me look really wide from the side i probably could have sized down for a better fit but it might have just emphasized my bust the fabric has a substantial weight and its lined best as a fall winter dress the embroidery is beautiful i disliked the intense black color around my f,Neutral,Positive
i love the way this dress hangs straight down on the model but on me it looked tacky  im  and  lbs and this dress hit me in all the wrong places  i got a size small sizing up would be huge in the top of the dress and the arm holes are already dangerously large  i wish this were just a little bit aline  instead its literally like someone just extended the length of a tshirt,Negative,Neutral
i was so excited about these pants but they were a total disappointment in person the fabric is a rough gauzy texture the bottom has a big hem that weighs down the pants and makes them hang funny like you are walking on stilts or something they do not hang or move well on the body also they are very long but small in the waist and have a high crotch so the fit is pretty off sadly these are going back,Negative,Neutral
i purchased the blouse in both the ivory and black the black i decided to keep because it will go with anything i was hoping the ivory blouse would work but its thin and see through if someone could please tell me where i could find a casual white or ivory blouse that is not entirely see through i would greatly appreciate it,Neutral,Positive
color was a perfect match for the linen slacks i wanted to pair it with however the top was way say too big so ill be sending it back,Positive,Neutral
im always looking for pieces that would good for either layering or worn alone this looks cute on the model but when i received it its actually very flowing i wanted more of a straight cut doesnt work very well on my body im   lbs d its going back,Negative,Positive
this had a cute design but an unflattering fit for me  it was boxy and made my boobs look droopy,Negative,Neutral
the pattern of this skirt is adorable and looks better in person but the fabric isnt the best it feels like an elastic fabric and is way to volumous overall not my favorite,Neutral,Positive
im on the shorter  side of the spectrum and usually wear an xs in retailer this is a lovely suit but it didnt work at all for me it might work well on a taller person or someone who is longer waisted the ruching and fuller cut leg was not flattering on me at all it was very tight and pinched sadly i returned it,Negative,Neutral
i got the ml and its huge usually wear a large so size down its a striking top but i decided not to reorder because i dont really need another short sleeve top i tried it under a cardigan and of course it looses its appeal because you cant see the floral design had to return,Neutral,Positive
i had a few pairs of these highwaisted beauties last year and love them so i was thrilled to see them in this adorable pattern which is even cuter in person unfortunately the cut is different the sides covered here by the models hands flare out a bit which is the function of the sectioning that the piping accentuates the top is not the definitively highwasted height from last year i dont own anything else highwasted being an apple im generally a lowrider owing to a small hipsbutt,Neutral,Positive
i have a curvy figure and this top is not for me it fits loose at the top and is tight at the bottom it is also short i think this top works best on slender figures,Neutral,Positive
i read all reviews and i decided to try as the price was great first of all i am   lbs athletic build not skinny but have muscles the sweater fits great just like glove it does not make me look fat the quality is greatsweater is warm cozy and wellmade i am not sure about color as its brighter as it shown it is not quite coral its a little bit darker which will make it difficult to match it with the sleeves run small so if you are taller then me just keep it in mind th sw,Neutral,Positive
i tried on this top and it looked fine until i tried to move you cant lift your arms i tried on a larger size but still felt like the movement was limited in the back and arm areas,Negative,Neutral
im  about lbs and ordered a size  the print on the fabric is as expected but the shape of the dress and fit were not good at all i probably would wear a  instead of the  but could tell that even if i had the  the cut of it still wouldnt be flattering on me at all it was baggy in odd places and had no shape the outer fabric is very sheer and see through and the lining is nice with a fitted slip design,Negative,Neutral
i waited impatiently for this item to come in stock and when it did i had it overnighted because i was so excited to receive it its hit or miss with me as far as retailers mediums and larges depending on the brand i generally err on the side of caution so i ordered the large it looked cute out of the package but when i put it on i was terribly disappointed it flared way out at the bottom and was not as fitted through the waist as on the model this could have been the large sizing but,Neutral,Negative
cup size is really small for a medium no way to adjust the back strap ended up giving it to my daughter cute but so poorly executed,Negative,Positive
dont judge the sweater by the model its an unattractive ensemble the sweater is very pretty on its lightweight with a cute design on the back i wear with skinny jeans or leggings it runs a bit wide at shoulders but im petite so it could just be me also it says dry clean i think but i put in a mesh bag and washed on delicate cycle by itself then laid flat to dry and it was fine,Positive,Neutral
i like flowy tops because i have a bit of a belly and i like to camouflage it but this top was really flowy the fabric is great and the embroidery is beautiful i was hoping for this to be a holiday staple this year it has to go back though just too large i dont love it quite enough to order a size down,Negative,Positive
i had high hopes for this dress but my husband said i looked pregnant and that i was wearing a tablecloth and he was right im usually a size  so perhaps this would look good on a talk lanky person with a very long torso but probably not way too much fabric around the midsection its a shame because the fabric was really pretty but too stiff a hand to drape well,Negative,Neutral
this jumpsuit is gorgeouson the right body if you have a tiny rib cage and a flat stomach and an average to short torso this may fit you beautifully on me the defined gathered area you see in the photo was very tight and hit me in an odd place the fabric is a great weight and it is a beautiful and rich looking i really wanted this to work out for me as for size i found it just a little tight in the hips waist and rib cage,Neutral,Positive
